Subject,Lecture,Ch,Band,Power
MJ01,Robo,F4,Theta,1.2433920921233232
MJ01,Robo,FP2,Theta,1.5796781360410952
MJ01,Robo,FP1,Alpha,0.5354783914743679
MJ01,Robo,F3,Alpha,0.4461316158336739
MJ01,Robo,C3,Alpha,0.7479867159040349
MJ01,Robo,PZ,Alpha,2.267770060098418
MJ01,Robo,C4,Alpha,1.074071512050724
MJ01,Robo,F4,Alpha,0.5457170356818912
MJ01,Robo,FP2,Alpha,0.6269745995379931
MJ01,Robo,FP1,Beta,0.8755458808697543
MJ01,Robo,F3,Beta,0.9342615424166208
MJ01,Robo,C3,Beta,0.5308278840209439
MJ01,Robo,PZ,Beta,1.38762568674751
MJ01,Robo,C4,Beta,2.064792967825935
MJ01,Robo,F4,Beta,1.0502566457149292
MJ01,Robo,FP2,Beta,1.0928739545724824
MT01,Desi,FP1,Theta,0.3032593402285305
MT01,Desi,F3,Theta,0.715605245698648
MT01,Desi,C3,Theta,0.9872688282732347
MT01,Desi,PZ,Theta,1.5560626069891859
MT01,Desi,C4,Theta,1.007992147315215
MT01,Desi,F4,Theta,0.21683317506528685
MT01,Desi,FP2,Theta,0.5775145433269916
MT01,Desi,FP1,Alpha,0.16511317870050818
MT01,Desi,F3,Alpha,0.4279114370609042
MT01,Desi,C3,Alpha,0.7284395789700189
MT01,Desi,PZ,Alpha,1.3022050515357384
MT01,Desi,C4,Alpha,1.4586054153272603
MT01,Desi,F4,Alpha,0.154927525158403
MT01,Desi,FP2,Alpha,0.33513536317643877
MT01,Desi,FP1,Beta,0.3343773690621946
MT01,Desi,F3,Beta,0.9853887414000766
MT01,Desi,C3,Beta,1.0787958544459824
MT01,Desi,PZ,Beta,1.5356992044355602
MT01,Desi,C4,Beta,1.8419126176519387
MT01,Desi,F4,Beta,0.26506383286008817
MT01,Desi,FP2,Beta,0.7211691578636285
MT01,Prog,FP1,Theta,0.3032593402285305
MT01,Prog,F3,Theta,0.715605245698648
MT01,Prog,C3,Theta,0.9872688282732347
MT01,Prog,PZ,Theta,1.5560626069891859
MT01,Prog,C4,Theta,1.007992147315215
MT01,Prog,F4,Theta,0.21683317506528685
MT01,Prog,FP2,Theta,0.5775145433269916
MT01,Prog,FP1,Alpha,0.16511317870050818
MT01,Prog,F3,Alpha,0.4279114370609042
MT01,Prog,C3,Alpha,0.7284395789700189
MT01,Prog,PZ,Alpha,1.3022050515357384
MT01,Prog,C4,Alpha,1.4586054153272603
MT01,Prog,F4,Alpha,0.154927525158403
MT01,Prog,FP2,Alpha,0.33513536317643877
MT01,Prog,FP1,Beta,0.3343773690621946
MT01,Prog,F3,Beta,0.9853887414000766
MT01,Prog,C3,Beta,1.0787958544459824
MT01,Prog,PZ,Beta,1.5356992044355602
MT01,Prog,C4,Beta,1.8419126176519387
MT01,Prog,F4,Beta,0.26506383286008817
MT01,Prog,FP2,Beta,0.7211691578636285
MT01,Robo,FP1,Theta,0.3032593402285305
MT01,Robo,F3,Theta,0.715605245698648
MT01,Robo,C3,Theta,0.9872688282732347
MT01,Robo,PZ,Theta,1.5560626069891859
MT01,Robo,C4,Theta,1.007992147315215
MT01,Robo,F4,Theta,0.21683317506528685
MT01,Robo,FP2,Theta,0.5775145433269916
MT01,Robo,FP1,Alpha,0.16511317870050818
MT01,Robo,F3,Alpha,0.4279114370609042
MT01,Robo,C3,Alpha,0.7284395789700189
MT01,Robo,PZ,Alpha,1.3022050515357384
MT01,Robo,C4,Alpha,1.4586054153272603
MT01,Robo,F4,Alpha,0.154927525158403
MT01,Robo,FP2,Alpha,0.33513536317643877
MT01,Robo,FP1,Beta,0.3343773690621946
MT01,Robo,F3,Beta,0.9853887414000766
MT01,Robo,C3,Beta,1.0787958544459824
MT01,Robo,PZ,Beta,1.5356992044355602
MT01,Robo,C4,Beta,1.8419126176519387
MT01,Robo,F4,Beta,0.26506383286008817
MT01,Robo,FP2,Beta,0.7211691578636285
ST01,Desi,FP1,Theta,10.245709188656916
ST01,Desi,F3,Theta,12.21659885293963
ST01,Desi,C3,Theta,15.03606993804391
ST01,Desi,PZ,Theta,28.597587045049202
ST01,Desi,C4,Theta,16.938171774812954
ST01,Desi,F4,Theta,13.086290376961186
ST01,Desi,FP2,Theta,14.071032853423544
ST01,Desi,FP1,Alpha,4.579131738180483
ST01,Desi,F3,Alpha,5.924730839125747
ST01,Desi,C3,Alpha,7.316946867125703
ST01,Desi,PZ,Alpha,11.823137838370833
ST01,Desi,C4,Alpha,8.774845994357033
ST01,Desi,F4,Alpha,5.697644115618246
ST01,Desi,FP2,Alpha,5.77463027679241
ST01,Desi,FP1,Beta,2.08063986966597
ST01,Desi,F3,Beta,3.785941109382061
ST01,Desi,C3,Beta,3.086505686362646
ST01,Desi,PZ,Beta,4.366908189528549
ST01,Desi,C4,Beta,3.3039469426084502
ST01,Desi,F4,Beta,3.398472273228986
ST01,Desi,FP2,Beta,3.419504580353077
ST01,Prog,FP1,Theta,10.245709188656916
ST01,Prog,F3,Theta,12.21659885293963
ST01,Prog,C3,Theta,15.03606993804391
ST01,Prog,PZ,Theta,28.597587045049202
ST01,Prog,C4,Theta,16.938171774812954
ST01,Prog,F4,Theta,13.086290376961186
ST01,Prog,FP2,Theta,14.071032853423544
ST01,Prog,FP1,Alpha,4.579131738180483
ST01,Prog,F3,Alpha,5.924730839125747
ST01,Prog,C3,Alpha,7.316946867125703
ST01,Prog,PZ,Alpha,11.823137838370833
ST01,Prog,C4,Alpha,8.774845994357033
ST01,Prog,F4,Alpha,5.697644115618246
ST01,Prog,FP2,Alpha,5.77463027679241
ST01,Prog,FP1,Beta,2.08063986966597
ST01,Prog,F3,Beta,3.785941109382061
ST01,Prog,C3,Beta,3.086505686362646
ST01,Prog,PZ,Beta,4.366908189528549
ST01,Prog,C4,Beta,3.3039469426084502
ST01,Prog,F4,Beta,3.398472273228986
ST01,Prog,FP2,Beta,3.419504580353077
ST01,Robo,FP1,Theta,10.245709188656916
ST01,Robo,F3,Theta,12.21659885293963
ST01,Robo,C3,Theta,15.03606993804391
ST01,Robo,PZ,Theta,28.597587045049202
ST01,Robo,C4,Theta,16.938171774812954
ST01,Robo,F4,Theta,13.086290376961186
ST01,Robo,FP2,Theta,14.071032853423544
ST01,Robo,FP1,Alpha,4.579131738180483
ST01,Robo,F3,Alpha,5.924730839125747
ST01,Robo,C3,Alpha,7.316946867125703
ST01,Robo,PZ,Alpha,11.823137838370833
ST01,Robo,C4,Alpha,8.774845994357033
ST01,Robo,F4,Alpha,5.697644115618246
ST01,Robo,FP2,Alpha,5.77463027679241
ST01,Robo,FP1,Beta,2.08063986966597
ST01,Robo,F3,Beta,3.785941109382061
ST01,Robo,C3,Beta,3.086505686362646
ST01,Robo,PZ,Beta,4.366908189528549
ST01,Robo,C4,Beta,3.3039469426084502
ST01,Robo,F4,Beta,3.398472273228986
ST01,Robo,FP2,Beta,3.419504580353077
